order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-009505,16/11/2024,CUST-00312,cust-00312@lumenmail.com,Lighting,1,98.25,0.0,Organic,US,
ORD-009396,2023-08-17,CUST-01009,cust-01009@lumenmail.com,Décor,2,208.76,0.0,Paid Search,US,variant
ORD-009509,2023-11-26,CUST-00260,cust-00260@lumenmail.com,Furniture,1,89.08,0.0,Organic,US,control
ORD-007142,2023-06-25,CUST-02120,cust-02120@lumenmail.com,Furniture,2,136.43,0.0,Email,US,
ORD-005288,2023-08-28,CUST-00166,cust-00166@lumenmail.com,Décor,2,246.41,0.05,Organic,US,control
ORD-003715,2023-12-27,CUST-00550,cust-00550@lumenmail.com,Décor,1,8.52,0.0,Social,UK,variant
ORD-003354,12/06/2024,CUST-01840,cust-01840@lumenmail.com,Décor,4,72.04,0.0,Paid Search,US,
ORD-005677,2024-12-22,CUST-01792,cust-01792@lumenmail.com,Furniture,2,41.5,0.05,Paid Search,US,variant
ORD-006452,24/09/2024,,guest@lumenmail.com,Accessories,1,597.95,0.0,Organic,US,variant
ORD-005375,29/10/2023,CUST-02574,cust-02574@lumenmail.com,Lighting,2,0.0,0.1,Organic,CA,variant
ORD-009534,2024-09-27,CUST-01571,cust-01571@lumenmail.com,Lighting,1,92.5,0.05,Email,UK,
ORD-005960,08/03/2024,CUST-01468,cust-01468@lumenmail.com,Lighting,1,671.48,0.2,,UK,
ORD-005779,2023-07-14,CUST-02909,cust-02909@lumenmail.com,Lighting,2,162.13,0.05,Email,CA,
ORD-005189,2024-11-18,CUST-01675,cust-01675@lumenmail.com,Lighting,1,48.74,0.0,Paid Search,US,control
ORD-000319,19/02/2024,CUST-01708,cust-01708@lumenmail.com,Lighting,1,86.1,0.1,Email,UK,
ORD-008659,2024-03-24,CUST-00712,cust-00712@lumenmail.com,Lighting,6,67.08,0.15,Paid Search,CA,
ORD-006288,2023-11-03,CUST-02241,cust-02241@lumenmail.com,Décor,2,373.55,0.0,,AU,
ORD-003604,2023-08-19,CUST-00931,cust-00931@lumenmail.com,Lighting,1,162.76,0.15,Email,CA,variant
ORD-006337,19/11/2023,CUST-00613,cust-00613@lumenmail.com,Décor,1,571.41,0.05,Email,US,variant
ORD-007377,2023-06-24,CUST-01571,cust-01571@lumenmail.com,Accessories,1,252.17,0.0,Paid Search,CA,
ORD-008089,2024-02-10,CUST-01031,cust-01031@lumenmail.com,Lighting,1,26.91,0.05,,US,
ORD-003025,2023-08-18,CUST-00040,cust-00040@lumenmail.com,Lighting,1,49.64,0.05,Email,CA,control
ORD-005518,2023-06-03,CUST-00659,cust-00659@lumenmail.com,Furniture,1,60.35,0.0,Social,CA,variant
ORD-003869,2024-07-17,CUST-02228,cust-02228@lumenmail.com,Lighting,2,81.03,0.0,Paid Search,US,
ORD-006553,2023-06-17,CUST-00950,cust-00950@lumenmail.com,Accessories,1,58.24,0.1,Organic,UK,control
ORD-001116,2024-02-21,CUST-01947,cust-01947@lumenmail.com,Lighting,1,23.79,0.2,Social,UK,
ORD-000338,2024-11-01,CUST-02970,cust-02970@lumenmail.com,Lighting,1,81.47,0.1,Email,CA,variant
ORD-006038,2024-05-26,CUST-00279,cust-00279@lumenmail.com,Décor,1,336.0,0.15,Social,US,control
ORD-007849,2024-06-21,CUST-00328,cust-00328@lumenmail.com,Furniture,1,161.61,0.0,Organic,US,
ORD-006330,2024-08-10,CUST-00128,cust-00128@lumenmail.com,Lighting,7,91.1,0.2,Organic,US,
ORD-006870,2024-03-25,CUST-02575,cust-02575@lumenmail.com,Furniture,1,77.22,0.15,Paid Search,CA,
ORD-004208,,CUST-00834,cust-00834@lumenmail.com,Lighting,2,32.43,0.05,Organic,US,
ORD-000680,2024-04-06,CUST-00236,cust-00236@lumenmail.com,Décor,2,78.2,0.1,Paid Search,US,
ORD-009249,2023-07-30,CUST-02671,cust-02671@lumenmail.com,Outdoor,3,86.12,0.0,Email,US,variant
ORD-009418,2024-07-31,CUST-01982,cust-01982@lumenmail.com,Décor,4,29.57,0.1,Social,CA,
ORD-001144,2024-10-06,CUST-00036,cust-00036@lumenmail.com,Décor,2,50.36,0.0,Paid Search,US,control
ORD-007776,26/08/2024,CUST-02353,cust-02353@lumenmail.com,Lighting,1,149.76,0.1,Organic,AU,variant
ORD-006784,2023-08-11,CUST-02861,cust-02861@lumenmail.com,Décor,1,84.99,0.2,Email,US,variant
ORD-006489,2024-02-22,CUST-02349,cust-02349@lumenmail.com,Lighting,3,9.52,0.0,Email,US,
ORD-006108,2024-03-02,CUST-02081,cust-02081@lumenmail.com,Furniture,1,234.09,0.0,Paid Search,ZZ,
ORD-007239,2024-04-10,CUST-01309,cust-01309@lumenmail.com,Décor,1,710.2,0.2,Paid Search,US,control
ORD-009014,29/12/2024,CUST-02692,cust-02692@lumenmail.com,Furniture,1,134.03,0.05,Organic,US,
ORD-008236,2023-09-17,CUST-00772,cust-00772@lumenmail.com,Lighting,1,334.72,0.1,Social,US,
ORD-007775,2024-05-11,CUST-01052,cust-01052@lumenmail.com,Lighting,2,237.5,0.0,Organic,CA,
ORD-001900,2024-04-27,CUST-01411,cust-01411@lumenmail.com,Furniture,1,74.57,0.0,Paid Search,US,
ORD-004385,2024-07-05,CUST-00712,cust-00712@lumenmail.com,Accessories,4,13.43,0.0,Social,US,
ORD-007220,2023-06-24,CUST-02394,cust-02394@lumenmail.com,Outdoor,1,31.43,0.05,Organic,US,
ORD-003371,2024-01-03,CUST-02788,cust-02788@lumenmail.com,Furniture,1,52.38,0.1,Paid Search,US,control
ORD-000438,2023-09-10,CUST-00170,cust-00170@lumenmail.com,Furniture,5,8.1,0.2,Email,US,control
ORD-005799,2024-06-23,CUST-01515,cust-01515@lumenmail.com,Lighting,1,326.5,0.25,Email,CA,control
ORD-005654,2024-08-20,CUST-00325,cust-00325@lumenmail.com,Décor,1,14.2,0.15,Paid Search,US,variant
ORD-000807,2024-06-30,CUST-01163,cust-01163@lumenmail.com,Lighting,2,80.23,0.15,Email,CA,variant
ORD-000449,2023-07-20,CUST-01222,cust-01222@lumenmail.com,Outdoor,1,249.8,0.05,Paid Search,US,variant
ORD-004255,2023-09-08,CUST-00371,cust-00371@lumenmail.com,Décor,2,183.7,0.2,Email,ZZ,control
ORD-004271,2024-04-28,CUST-00386,cust-00386@lumenmail.com,Accessories,2,54.48,0.0,Email,CA,variant
ORD-001722,2024-04-27,CUST-02395,cust-02395@lumenmail.com,Furniture,3,432.47,0.0,Organic,US,variant
ORD-000942,2023-10-03,CUST-02329,cust-02329@lumenmail.com,Accessories,1,34.7,0.2,Organic,US,
ORD-004468,2024-03-05,CUST-02121,cust-02121@lumenmail.com,Décor,1,45.09,0.0,Email,US,
ORD-001634,30/07/2024,CUST-01067,cust-01067@lumenmail.com,Lighting,3,34.92,0.15,Paid Search,US,variant
ORD-000599,2024-12-27,CUST-01891,cust-01891@lumenmail.com,Lighting,1,127.22,0.0,Email,US,variant
ORD-005813,2023-11-04,CUST-01080,cust-01080@lumenmail.com,Lighting,-4,40.4,0.15,Social,US,
ORD-009094,2024-05-30,CUST-00754,cust-00754@lumenmail.com,Décor,6,20.72,0.05,Social,UK,variant
ORD-003195,2023-06-16,CUST-01634,cust-01634@lumenmail.com,Lighting,1,61.64,0.1,Organic,UK,
ORD-000552,24/05/2024,CUST-02170,cust-02170@lumenmail.com,Outdoor,7,197.89,0.15,Organic,AU,variant
ORD-007197,2023-07-21,CUST-01657,cust-01657@lumenmail.com,Lighting,1,96.42,0.0,Paid Search,US,variant
ORD-006670,2024-11-05,CUST-00298,cust-00298@lumenmail.com,Furniture,1,57.54,0.05,Email,US,control
ORD-006301,2023-07-22,CUST-01643,cust-01643@lumenmail.com,Outdoor,3,324.11,0.0,Paid Search,US,control
ORD-007913,2024-03-19,CUST-00727,cust-00727@lumenmail.com,Lighting,2,209.22,0.1,Paid Search,US,control
ORD-000540,2024-04-17,CUST-02836,cust-02836@lumenmail.com,Décor,2,351.74,0.05,Paid Search,US,control
ORD-000427,15/06/2023,CUST-00613,cust-00613@lumenmail.com,Furniture,2,49.18,0.15,Paid Search,US,
ORD-002586,2024-03-25,CUST-01772,cust-01772@lumenmail.com,Furniture,4,259.55,0.0,Organic,UK,control
ORD-009379,09/02/2024,CUST-02108,cust-02108@lumenmail.com,Lighting,2,49.73,0.0,Organic,US,
ORD-007738,2024-04-19,CUST-00721,cust-00721@lumenmail.com,Lighting,6,114.6,0.05,Organic,AU,control
ORD-009159,2023-11-22,CUST-02517,cust-02517@lumenmail.com,Furniture,2,38.43,0.2,Paid Search,US,
ORD-005749,2024-05-07,CUST-01891,cust-01891@lumenmail.com,Furniture,1,43.75,0.0,Organic,US,
ORD-002473,2024-12-10,,guest@lumenmail.com,Outdoor,2,6.6,0.2,Organic,US,
ORD-005294,2023-08-02,CUST-01385,cust-01385@lumenmail.com,Décor,-1,383.16,0.05,Organic,US,variant
ORD-002711,2023-10-18,CUST-01379,cust-01379@lumenmail.com,Lighting,3,143.63,0.0,Email,UK,
ORD-007640,2024-08-01,CUST-02125,cust-02125@lumenmail.com,Décor,1,157.03,0.1,Paid Search,UK,variant
ORD-006492,2023-11-25,,guest@lumenmail.com,Lighting,1,369.54,0.0,Email,UK,control
ORD-003508,2023-11-17,CUST-02965,cust-02965@lumenmail.com,Lighting,1,70.64,0.15,Organic,US,
ORD-003104,2024-01-20,CUST-02247,cust-02247@lumenmail.com,Furniture,1,7.65,0.15,Organic,CA,
ORD-006668,2024-06-04,CUST-01953,cust-01953@lumenmail.com,Outdoor,1,72.95,0.0,Organic,UK,
ORD-009308,2023-06-09,CUST-01113,cust-01113@lumenmail.com,Furniture,1,524.97,0.0,Paid Search,US,
ORD-000233,2024-04-17,CUST-00962,cust-00962@lumenmail.com,Lighting,1,169.47,0.05,Paid Search,US,
ORD-005024,2023-10-03,CUST-02520,cust-02520@lumenmail.com,Furniture,2,440.82,0.1,Email,US,
ORD-009541,2024-03-07,CUST-02908,cust-02908@lumenmail.com,Furniture,2,142.14,0.0,Social,UK,variant
ORD-007544,2023-08-21,CUST-02199,cust-02199@lumenmail.com,Furniture,2,177.97,0.15,Paid Search,UK,control
ORD-008974,18/06/2023,CUST-00418,cust-00418@lumenmail.com,Décor,1,40.48,0.0,Social,US,control
ORD-008731,11/09/2023,CUST-02565,cust-02565@lumenmail.com,Furniture,1,158.79,0.2,Social,US,
ORD-006381,2024-11-09,CUST-01131,cust-01131@lumenmail.com,Furniture,2,620.07,0.0,Social,US,
ORD-002002,14/01/2024,CUST-01291,cust-01291@lumenmail.com,Furniture,1,45.08,0.0,Organic,CA,control
ORD-007605,2024-10-20,CUST-02069,cust-02069@lumenmail.com,Décor,5,24.5,0.25,,ZZ,variant
ORD-006017,2023-12-05,CUST-00635,cust-00635@lumenmail.com,Lighting,3,50.87,0.0,Email,US,control
ORD-000365,2024-08-15,CUST-01864,cust-01864@lumenmail.com,Furniture,2,246.62,0.1,Organic,US,
ORD-007917,2023-10-20,CUST-02314,cust-02314@lumenmail.com,Décor,3,329.98,0.2,Paid Search,US,variant
ORD-002922,2024-04-02,,guest@lumenmail.com,Lighting,3,262.77,0.0,Email,CA,variant
ORD-004297,21/12/2023,CUST-02900,cust-02900@lumenmail.com,Lighting,2,88.06,0.15,Paid Search,US,
ORD-006504,2024-01-07,CUST-02136,cust-02136@lumenmail.com,Décor,2,129.02,0.1,Paid Search,US,
ORD-009166,2023-09-01,,guest@lumenmail.com,Lighting,3,23.7,0.1,Paid Search,AU,variant
ORD-003158,2024-01-03,CUST-02007,cust-02007@lumenmail.com,Décor,3,5.83,0.1,Paid Search,US,control
ORD-000771,2023-07-26,CUST-00341,cust-00341@lumenmail.com,Outdoor,7,99.53,0.25,Email,CA,variant
ORD-007758,2024-07-12,CUST-02795,cust-02795@lumenmail.com,Lighting,4,336.09,0.0,Email,US,
ORD-002753,2024-04-01,,guest@lumenmail.com,Lighting,2,13.98,0.15,Email,US,control
ORD-005653,2023-07-03,CUST-02919,cust-02919@lumenmail.com,Furniture,2,169.55,0.0,Paid Search,AU,
ORD-008691,2024-06-22,CUST-00049,cust-00049@lumenmail.com,Furniture,2,58.57,0.2,Paid Search,US,variant
ORD-007099,2023-06-12,,guest@lumenmail.com,Outdoor,1,85.99,0.0,Organic,UK,
ORD-005997,2023-12-30,CUST-02486,cust-02486@lumenmail.com,Lighting,3,527.67,0.0,Paid Search,UK,variant
ORD-000018,2024-05-14,CUST-00266,cust-00266@lumenmail.com,Outdoor,2,450.35,0.0,Email,UK,variant
ORD-009163,2024-10-25,CUST-02037,cust-02037@lumenmail.com,Furniture,4,25.58,0.0,Paid Search,CA,
ORD-004168,08/08/2024,CUST-02305,cust-02305@lumenmail.com,Lighting,2,44.3,0.05,Email,UK,
ORD-004143,2024-01-02,CUST-01175,cust-01175@lumenmail.com,Lighting,4,619.88,0.0,Email,CA,
ORD-000411,23/05/2024,CUST-02352,cust-02352@lumenmail.com,Outdoor,1,180.43,0.05,Email,US,variant
ORD-003002,2024-12-05,CUST-01821,cust-01821@lumenmail.com,Lighting,2,140.51,0.0,Email,US,
ORD-005839,26/06/2023,CUST-00229,cust-00229@lumenmail.com,Décor,4,22.98,0.05,Organic,US,
ORD-008215,2024-06-22,CUST-01069,cust-01069@lumenmail.com,Furniture,1,81.95,0.1,Social,UK,
ORD-001225,2024-05-07,CUST-02592,cust-02592@lumenmail.com,Furniture,7,30.05,0.15,Organic,CA,control
ORD-003935,2024-05-18,CUST-01012,cust-01012@lumenmail.com,Décor,2,237.59,0.0,Email,US,variant
ORD-001992,2023-07-13,CUST-00083,cust-00083@lumenmail.com,Décor,1,43.68,0.0,Social,US,
ORD-002625,2023-11-12,CUST-00669,cust-00669@lumenmail.com,Décor,1,39.49,0.0,Paid Search,US,
ORD-003548,2024-12-08,CUST-00273,cust-00273@lumenmail.com,Décor,1,529.05,0.1,Email,US,
ORD-007960,2024-03-05,CUST-02413,cust-02413@lumenmail.com,Décor,1,21.72,0.15,Paid Search,US,
ORD-008333,2024-08-06,CUST-01360,cust-01360@lumenmail.com,Outdoor,2,40.42,0.05,Organic,US,
ORD-003438,2023-10-18,CUST-00719,cust-00719@lumenmail.com,Accessories,2,27.78,0.15,Social,CA,control
ORD-000991,2023-11-05,CUST-00741,cust-00741@lumenmail.com,Outdoor,2,129.02,0.0,Paid Search,UK,
ORD-004027,2023-11-05,CUST-02422,cust-02422@lumenmail.com,Lighting,1,148.64,0.05,Organic,US,variant
ORD-009233,2023-09-06,CUST-02519,cust-02519@lumenmail.com,Lighting,1,167.66,0.05,Paid Search,US,
ORD-005455,13/10/2024,CUST-00716,cust-00716@lumenmail.com,Outdoor,1,69.28,0.0,Paid Search,US,control
ORD-001908,2024-03-05,CUST-00579,cust-00579@lumenmail.com,Outdoor,2,40.22,0.0,Organic,US,control
ORD-007668,2024-05-14,CUST-01842,cust-01842@lumenmail.com,Lighting,1,117.65,0.0,Paid Search,AU,control
ORD-003625,2024-11-18,CUST-01443,cust-01443@lumenmail.com,Lighting,5,62.8,0.05,Paid Search,US,variant
ORD-006325,2024-05-16,CUST-01876,cust-01876@lumenmail.com,Décor,2,65.61,0.2,Organic,AU,variant
ORD-001685,2024-06-19,CUST-00927,cust-00927@lumenmail.com,Décor,3,36.59,0.05,Social,ZZ,
ORD-004251,18/07/2024,CUST-00587,cust-00587@lumenmail.com,Décor,-2,279.94,0.1,Social,US,
ORD-008860,2023-07-31,CUST-02145,cust-02145@lumenmail.com,Décor,2,326.91,0.0,Organic,US,control
ORD-004015,2024-05-29,CUST-00791,cust-00791@lumenmail.com,Furniture,1,12.85,0.15,Organic,CA,control
ORD-005752,2023-12-09,CUST-00282,cust-00282@lumenmail.com,Lighting,1,45.85,0.0,Paid Search,US,
ORD-005194,2023-12-10,CUST-01684,cust-01684@lumenmail.com,Lighting,6,86.88,0.0,Organic,UK,control
ORD-006101,2023-10-03,CUST-01039,cust-01039@lumenmail.com,Accessories,6,98.91,0.15,Paid Search,ZZ,variant
ORD-002581,2024-06-14,CUST-02422,cust-02422@lumenmail.com,Lighting,3,295.35,0.1,Email,US,variant
