order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group,date_missing,is_return,is_promo
ORD-000419,2023-11-10,CUST-02048,cust-02048@lumenmail.com,Furniture,2,426.5,0.15,Paid Search,US,variant,False,False,False
ORD-000191,2023-11-26,CUST-00474,cust-00474@lumenmail.com,Décor,2,77.59,0.0,Organic,US,variant,False,False,False
ORD-000977,2024-06-07,CUST-00767,cust-00767@lumenmail.com,Lighting,1,221.54,0.0,Paid Search,US,variant,False,False,False
ORD-002324,2023-11-22,CUST-01790,cust-01790@lumenmail.com,Décor,3,30.67,0.05,Organic,CA,control,False,False,False
ORD-008016,2023-06-23,CUST-00136,cust-00136@lumenmail.com,Décor,6,186.06,0.25,Paid Search,AU,control,False,False,False
ORD-007126,2023-10-25,CUST-02069,cust-02069@lumenmail.com,Décor,1,81.95,0.0,,CA,variant,False,False,False
ORD-002752,2024-10-12,CUST-02479,cust-02479@lumenmail.com,Lighting,2,581.38,0.0,Email,US,variant,False,False,False
ORD-002393,2024-04-18,CUST-02142,cust-02142@lumenmail.com,Décor,4,0.0,0.0,Email,US,variant,False,False,True
ORD-004783,2024-10-14,CUST-02547,cust-02547@lumenmail.com,Décor,1,91.98,0.15,Email,US,,False,False,False
ORD-007934,2024-05-07,CUST-02862,cust-02862@lumenmail.com,Lighting,1,322.93,0.0,Paid Search,US,,False,False,False
ORD-001310,2024-12-04,CUST-01571,cust-01571@lumenmail.com,Lighting,1,96.48,0.25,Social,US,variant,False,False,False
ORD-003164,2024-05-25,CUST-02517,cust-02517@lumenmail.com,Décor,3,185.91,0.0,,UK,variant,False,False,False
ORD-007491,2024-06-24,CUST-00778,cust-00778@lumenmail.com,Lighting,1,51.79,0.0,Paid Search,CA,,False,False,False
ORD-004473,2024-09-30,CUST-02663,cust-02663@lumenmail.com,Furniture,5,124.29,0.05,Email,UK,,False,False,False
ORD-000740,2023-06-06,CUST-02906,cust-02906@lumenmail.com,Lighting,1,29.16,0.0,Organic,ZZ,variant,False,False,False
ORD-004341,2024-09-26,CUST-01802,cust-01802@lumenmail.com,Lighting,1,158.87,0.0,Paid Search,US,,False,False,False
ORD-006724,2024-10-26,CUST-00396,cust-00396@lumenmail.com,Lighting,7,54.55,0.05,Paid Search,UK,variant,False,False,False
ORD-008916,2023-09-21,CUST-00387,cust-00387@lumenmail.com,Lighting,3,97.57,0.0,Social,CA,control,False,False,False
ORD-007817,2024-02-19,CUST-01269,cust-01269@lumenmail.com,Furniture,2,125.71,0.0,Organic,US,,False,False,False
ORD-001901,2024-08-26,CUST-02803,cust-02803@lumenmail.com,Décor,1,178.58,0.0,Email,US,,False,False,False
ORD-004841,2023-12-27,CUST-02522,cust-02522@lumenmail.com,Accessories,2,18.94,0.15,Email,US,,False,False,False
ORD-005328,2024-11-29,CUST-01787,cust-01787@lumenmail.com,Furniture,2,254.95,0.0,Email,US,variant,False,False,False
ORD-002296,2023-12-05,CUST-00840,cust-00840@lumenmail.com,Outdoor,1,163.32,0.0,Organic,US,variant,False,False,False
ORD-005216,2023-07-15,CUST-02612,cust-02612@lumenmail.com,Décor,2,31.08,0.0,Paid Search,US,,False,False,False
ORD-002062,2024-09-20,CUST-00509,cust-00509@lumenmail.com,Lighting,2,45.66,0.05,Email,AU,control,False,False,False
ORD-008341,2024-09-22,CUST-01174,cust-01174@lumenmail.com,Lighting,2,99.02,0.05,Organic,ZZ,control,False,False,False
ORD-002633,2024-11-29,CUST-02032,cust-02032@lumenmail.com,Lighting,1,495.5,0.0,Organic,US,variant,False,False,False
ORD-008806,2023-11-16,CUST-00067,cust-00067@lumenmail.com,Accessories,1,43.11,0.0,Organic,US,,False,False,False
ORD-008147,2023-06-19,CUST-02440,cust-02440@lumenmail.com,Lighting,1,249.44,0.1,Social,US,control,False,False,False
ORD-002661,2023-09-15,CUST-01424,cust-01424@lumenmail.com,Lighting,3,381.42,0.05,Paid Search,US,,False,False,False
ORD-006663,2023-10-21,CUST-02864,cust-02864@lumenmail.com,Lighting,1,67.6,0.0,Paid Search,US,,False,False,False
ORD-001828,2023-08-11,CUST-00023,cust-00023@lumenmail.com,Furniture,1,189.29,0.0,Social,US,variant,False,False,False
ORD-007726,2024-07-26,CUST-00495,cust-00495@lumenmail.com,Décor,2,86.11,0.05,Paid Search,US,,False,False,False
ORD-006889,2024-06-30,CUST-02977,cust-02977@lumenmail.com,Lighting,2,627.89,0.15,Social,UK,,False,False,False
ORD-006906,2023-07-13,CUST-00336,cust-00336@lumenmail.com,Outdoor,4,9.21,0.0,Organic,CA,,False,False,False
ORD-001644,2023-07-30,CUST-01927,cust-01927@lumenmail.com,Furniture,1,29.67,0.05,Paid Search,US,control,False,False,False
ORD-006943,2024-05-26,CUST-02880,cust-02880@lumenmail.com,Décor,2,628.45,0.0,Organic,US,control,False,False,False
ORD-004347,2024-12-12,CUST-01143,cust-01143@lumenmail.com,Lighting,-2,47.39,0.0,Email,US,,False,True,False
ORD-009511,2024-04-10,CUST-02732,cust-02732@lumenmail.com,Lighting,1,169.84,0.1,Social,US,,False,False,False
ORD-009105,2023-11-16,CUST-01747,cust-01747@lumenmail.com,Décor,1,298.74,0.0,Email,US,,False,False,False
ORD-005729,2023-12-01,CUST-01785,cust-01785@lumenmail.com,Outdoor,1,93.63,0.05,Social,CA,,False,False,False
ORD-005528,2023-12-23,CUST-01444,cust-01444@lumenmail.com,Lighting,2,37.91,0.2,Social,US,,False,False,False
ORD-005699,2023-10-27,CUST-02207,cust-02207@lumenmail.com,Décor,1,112.16,0.0,Paid Search,US,control,False,False,False
ORD-006097,2023-08-06,CUST-02777,cust-02777@lumenmail.com,Décor,2,79.03,0.05,Email,US,variant,False,False,False
ORD-006238,2024-03-24,CUST-02070,cust-02070@lumenmail.com,Lighting,1,38.34,0.0,Email,CA,,False,False,False
ORD-009056,2024-03-19,CUST-00553,cust-00553@lumenmail.com,Décor,1,395.73,0.25,Organic,US,,False,False,False
ORD-007799,2024-02-04,CUST-01755,cust-01755@lumenmail.com,Accessories,1,56.56,0.0,Organic,US,control,False,False,False
ORD-000785,2024-02-10,,guest@lumenmail.com,Furniture,2,172.94,0.1,Social,US,control,False,False,False
ORD-008933,2024-02-02,CUST-02965,cust-02965@lumenmail.com,Lighting,3,166.94,0.0,Social,US,variant,False,False,False
ORD-004968,2023-11-05,CUST-02674,cust-02674@lumenmail.com,Lighting,4,85.62,0.25,Paid Search,US,control,False,False,False
ORD-008964,2023-06-12,CUST-00751,cust-00751@lumenmail.com,Lighting,2,156.24,0.2,Organic,AU,variant,False,False,False
ORD-007805,2024-05-12,CUST-02929,cust-02929@lumenmail.com,Décor,1,150.19,0.1,Email,US,control,False,False,False
ORD-009252,2024-10-24,CUST-00275,cust-00275@lumenmail.com,Lighting,2,93.43,0.15,Organic,US,variant,False,False,False
ORD-004737,2023-09-04,CUST-01138,cust-01138@lumenmail.com,Furniture,4,107.66,0.0,Paid Search,CA,,False,False,False
ORD-002520,2024-12-16,CUST-00819,cust-00819@lumenmail.com,Décor,1,611.88,0.1,Social,UK,variant,False,False,False
ORD-009224,2024-12-21,CUST-02660,cust-02660@lumenmail.com,Décor,1,693.22,0.05,Paid Search,US,variant,False,False,False
ORD-003616,2023-06-19,,guest@lumenmail.com,Accessories,2,99.8,0.1,Paid Search,US,,False,False,False
ORD-005573,2024-05-30,CUST-02191,cust-02191@lumenmail.com,Décor,1,73.58,0.05,,US,control,False,False,False
ORD-003121,2024-04-14,CUST-02435,cust-02435@lumenmail.com,Décor,2,149.16,0.15,Paid Search,US,,False,False,False
ORD-008869,2024-01-26,CUST-00030,cust-00030@lumenmail.com,Furniture,1,82.85,0.15,Paid Search,US,variant,False,False,False
ORD-000335,2024-03-04,CUST-01347,cust-01347@lumenmail.com,Furniture,3,11.02,0.15,Organic,US,variant,False,False,False
ORD-000488,2023-12-08,,guest@lumenmail.com,Outdoor,2,246.2,0.05,Email,UK,control,False,False,False
ORD-001416,2024-01-31,CUST-01665,cust-01665@lumenmail.com,Lighting,1,111.59,0.05,Paid Search,US,variant,False,False,False
ORD-003726,2024-12-19,,guest@lumenmail.com,Furniture,5,41.33,0.0,Email,US,control,False,False,False
