order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-006272,19/03/2024,,guest@lumenmail.com,Furniture,3,21.32,0.15,Email,US,
ORD-004918,2024-01-28,,guest@lumenmail.com,Accessories,2,34.64,0.05,Paid Search,UK,variant
ORD-005922,2023-11-24,CUST-00296,cust-00296@lumenmail.com,Furniture,2,86.38,0.05,Social,US,
ORD-005452,2023-06-17,CUST-01643,cust-01643@lumenmail.com,Outdoor,3,66.13,0.1,Organic,US,variant
ORD-009439,10/12/2023,CUST-02102,cust-02102@lumenmail.com,Lighting,1,54.32,0.0,Paid Search,US,variant
ORD-000408,2024-02-23,CUST-01387,cust-01387@lumenmail.com,Lighting,3,23.82,0.0,Paid Search,US,control
ORD-000609,2024-12-04,CUST-02291,cust-02291@lumenmail.com,Furniture,1,538.57,0.2,Email,US,control
ORD-005891,08/12/2024,CUST-00167,cust-00167@lumenmail.com,Furniture,1,77.26,0.0,Organic,US,variant
ORD-001623,2024-04-26,CUST-02684,cust-02684@lumenmail.com,Furniture,2,267.59,0.15,Organic,US,
ORD-008209,2023-10-12,CUST-02573,cust-02573@lumenmail.com,Furniture,1,706.15,5.0,Email,US,control
ORD-002512,14/10/2023,CUST-01167,cust-01167@lumenmail.com,Lighting,1,48.3,0.05,Organic,CA,variant
ORD-006734,2023-06-23,CUST-02853,cust-02853@lumenmail.com,Furniture,1,79.19,25.0,Paid Search,CA,variant
ORD-005734,2024-11-01,CUST-00068,cust-00068@lumenmail.com,Accessories,4,77.96,0.0,Paid Search,US,
ORD-005688,2023-10-26,CUST-02178,cust-02178@lumenmail.com,Outdoor,3,7.84,0.05,Email,US,
ORD-006061,2023-09-04,CUST-00014,cust-00014@lumenmail.com,Décor,2,26.35,0.0,Email,US,variant
ORD-005166,2024-02-27,CUST-01738,cust-01738@lumenmail.com,Accessories,2,70.92,5.0,Organic,US,variant
ORD-001179,2023-06-17,CUST-01510,cust-01510@lumenmail.com,Outdoor,1,49.67,0.0,,US,control
ORD-001219,2023-09-25,CUST-00179,cust-00179@lumenmail.com,Lighting,1,55.22,0.2,Email,US,variant
ORD-002834,2024-09-19,CUST-00526,cust-00526@lumenmail.com,Furniture,4,40.9,0.0,,UK,
ORD-006167,2023-09-09,CUST-02569,cust-02569@lumenmail.com,Furniture,1,15.99,0.05,Organic,UK,variant
ORD-006155,2024-10-30,CUST-02246,cust-02246@lumenmail.com,Lighting,1,49.66,0.05,Email,AU,variant
ORD-001855,,CUST-01992,cust-01992@lumenmail.com,Furniture,5,27.94,0.0,Organic,US,
ORD-002056,10/03/2024,CUST-00428,cust-00428@lumenmail.com,Décor,2,131.37,10.0,Organic,CA,variant
ORD-001592,2023-06-06,CUST-00392,cust-00392@lumenmail.com,Outdoor,2,127.56,0.0,Social,AU,variant
ORD-004905,23/09/2023,CUST-00121,cust-00121@lumenmail.com,Lighting,4,0.0,0.1,Organic,ZZ,
