order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-001678,2024-12-05,CUST-00778,cust-00778@lumenmail.com,Furniture,1,59.79,0.0,Paid Search,US,control
ORD-000921,2024-10-16,,guest@lumenmail.com,Décor,1,90.81,0.2,Email,UK,
ORD-008780,2023-09-29,CUST-00228,cust-00228@lumenmail.com,Outdoor,3,27.91,0.0,Paid Search,US,variant
ORD-009567,21/07/2023,CUST-00617,cust-00617@lumenmail.com,Lighting,1,27.44,0.1,Organic,US,variant
ORD-004566,2023-12-02,CUST-01704,cust-01704@lumenmail.com,Furniture,2,22.08,0.15,Paid Search,US,control
ORD-004097,21/03/2024,CUST-00693,cust-00693@lumenmail.com,Lighting,2,26.63,0.15,,UK,
ORD-007464,2024-04-01,CUST-02751,cust-02751@lumenmail.com,Outdoor,2,329.66,0.0,Paid Search,CA,variant
ORD-007050,2023-07-14,,guest@lumenmail.com,Furniture,2,334.28,0.0,Paid Search,UK,
ORD-009135,2023-09-02,CUST-02624,cust-02624@lumenmail.com,Lighting,1,107.45,0.0,Email,US,
ORD-003431,2024-01-13,CUST-00419,cust-00419@lumenmail.com,Lighting,1,249.24,0.0,Paid Search,US,
ORD-008778,2024-09-15,CUST-02289,cust-02289@lumenmail.com,Lighting,1,139.73,0.05,Email,US,
ORD-002999,2023-08-21,CUST-01711,cust-01711@lumenmail.com,Outdoor,2,153.0,0.05,Email,US,variant
ORD-003232,2024-05-16,CUST-02660,cust-02660@lumenmail.com,Décor,1,90.14,0.05,Organic,US,control
ORD-003898,2023-09-12,CUST-01934,cust-01934@lumenmail.com,Outdoor,5,164.82,0.05,Paid Search,US,
ORD-005247,22/04/2024,CUST-01339,cust-01339@lumenmail.com,Furniture,2,353.42,0.05,Paid Search,US,control
ORD-003921,2024-07-02,CUST-01970,cust-01970@lumenmail.com,Furniture,2,367.0,0.0,Organic,US,variant
ORD-002373,2024-04-20,CUST-02839,cust-02839@lumenmail.com,Outdoor,2,91.67,0.25,Email,US,control
ORD-003947,03/01/2024,CUST-02099,cust-02099@lumenmail.com,Lighting,4,692.69,0.2,Social,ZZ,variant
ORD-005490,2024-12-18,,guest@lumenmail.com,Lighting,1,14.76,0.0,Social,CA,
ORD-006721,30/09/2024,,guest@lumenmail.com,Lighting,7,69.39,0.15,Social,ZZ,control
ORD-006361,03/07/2024,CUST-02255,cust-02255@lumenmail.com,Décor,2,115.75,0.1,Email,US,control
ORD-008946,2024-07-20,,guest@lumenmail.com,Lighting,1,43.31,0.0,Email,US,
ORD-009520,2024-09-16,CUST-01578,cust-01578@lumenmail.com,Lighting,2,92.24,0.0,Paid Search,US,variant
ORD-008950,2024-03-01,CUST-01890,cust-01890@lumenmail.com,Décor,1,113.9,0.1,Social,US,
ORD-006866,2023-11-25,CUST-00246,cust-00246@lumenmail.com,Décor,1,40.79,0.0,Email,US,variant
ORD-001839,2023-08-22,CUST-00174,cust-00174@lumenmail.com,Furniture,7,61.36,0.05,Paid Search,US,variant
ORD-006099,28/11/2023,CUST-01596,cust-01596@lumenmail.com,Décor,2,311.3,0.0,Organic,AU,
ORD-001757,20/08/2023,CUST-01471,cust-01471@lumenmail.com,Lighting,1,164.43,0.0,Email,US,control
ORD-003645,2024-05-29,CUST-01088,cust-01088@lumenmail.com,Décor,2,73.41,0.0,Email,AU,
ORD-004518,2024-11-05,CUST-00230,cust-00230@lumenmail.com,Furniture,2,33.7,0.15,Paid Search,US,
ORD-008862,2023-11-22,CUST-01160,cust-01160@lumenmail.com,Lighting,2,150.06,0.0,Email,US,control
ORD-006756,2023-08-06,,guest@lumenmail.com,Furniture,2,500.71,0.0,Paid Search,US,variant
ORD-005114,2023-10-07,CUST-01408,cust-01408@lumenmail.com,Lighting,3,186.33,0.0,Organic,US,
ORD-002638,2023-06-09,,guest@lumenmail.com,Lighting,1,63.26,0.0,Paid Search,UK,variant
ORD-002824,2024-09-14,CUST-00128,cust-00128@lumenmail.com,Lighting,5,671.97,0.1,Email,CA,control
ORD-000757,15/01/2024,CUST-00650,cust-00650@lumenmail.com,Lighting,1,40.19,0.0,Paid Search,CA,control
ORD-008538,2024-08-24,CUST-02500,cust-02500@lumenmail.com,Outdoor,3,263.36,0.15,Social,CA,variant
ORD-007194,2024-03-06,CUST-02697,cust-02697@lumenmail.com,Lighting,5,729.4,0.25,Organic,US,
ORD-005850,2023-07-29,CUST-01362,cust-01362@lumenmail.com,Lighting,1,29.56,0.0,Paid Search,US,variant
ORD-000098,12/10/2024,CUST-01764,cust-01764@lumenmail.com,Outdoor,-1,92.83,0.1,Paid Search,CA,control
ORD-008215,2023-06-07,CUST-01195,cust-01195@lumenmail.com,Décor,1,445.76,0.15,Paid Search,CA,variant
ORD-000541,2023-09-30,CUST-00464,cust-00464@lumenmail.com,Accessories,1,228.54,0.0,Paid Search,US,control
ORD-002972,2024-04-21,,guest@lumenmail.com,Décor,1,78.38,0.0,Paid Search,CA,variant
ORD-000452,24/07/2023,CUST-02447,cust-02447@lumenmail.com,Lighting,1,617.94,0.0,Email,US,
ORD-008530,2024-07-05,CUST-01313,cust-01313@lumenmail.com,Accessories,1,160.37,0.25,Social,AU,
ORD-002779,2023-11-28,CUST-00624,cust-00624@lumenmail.com,Furniture,1,89.96,0.05,Paid Search,UK,variant
