order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group,date_missing,is_return,is_promo
ORD-005832,2024-07-15,CUST-02292,cust-02292@lumenmail.com,Lighting,7,89.57,0.05,Email,UK,variant,False,False,False
ORD-002313,2023-10-27,CUST-00777,cust-00777@lumenmail.com,Décor,2,81.2,0.1,Email,US,control,False,False,False
ORD-003812,2024-06-08,CUST-00375,cust-00375@lumenmail.com,Décor,6,589.36,0.0,Email,US,control,False,False,False
ORD-008893,2023-11-14,CUST-02139,cust-02139@lumenmail.com,Accessories,-1,412.96,0.05,Social,US,variant,False,True,False
ORD-009007,2023-08-17,,guest@lumenmail.com,Lighting,1,51.59,0.0,Organic,US,variant,False,False,False
ORD-003815,2023-09-29,,guest@lumenmail.com,Lighting,2,268.75,0.1,Paid Search,UK,control,False,False,False
ORD-005066,2024-06-08,CUST-02788,cust-02788@lumenmail.com,Lighting,1,28.95,0.05,Paid Search,US,,False,False,False
ORD-004573,2023-08-06,CUST-01725,cust-01725@lumenmail.com,Furniture,2,83.27,0.0,Email,AU,variant,False,False,False
ORD-003484,2024-01-25,CUST-02694,cust-02694@lumenmail.com,Furniture,1,23.69,0.05,Paid Search,US,variant,False,False,False
ORD-002316,2024-06-14,CUST-00080,cust-00080@lumenmail.com,Décor,1,44.62,0.1,Paid Search,US,variant,False,False,False
ORD-000559,2024-09-11,CUST-02305,cust-02305@lumenmail.com,Lighting,1,32.46,0.05,Organic,US,,False,False,False
ORD-003510,2024-08-10,CUST-00018,cust-00018@lumenmail.com,Furniture,1,285.57,0.15,Organic,US,control,False,False,False
ORD-009514,2024-05-28,CUST-02541,cust-02541@lumenmail.com,Furniture,3,51.34,0.05,Email,US,variant,False,False,False
ORD-005081,2024-03-26,CUST-00145,cust-00145@lumenmail.com,Outdoor,2,61.5,0.2,Email,UK,variant,False,False,False
ORD-003018,2023-12-10,CUST-00631,cust-00631@lumenmail.com,Décor,1,233.98,0.0,Email,US,variant,False,False,False
ORD-003453,2023-09-07,CUST-00826,cust-00826@lumenmail.com,Lighting,1,75.84,0.0,Social,US,,False,False,False
ORD-008566,2024-09-09,CUST-00860,cust-00860@lumenmail.com,Outdoor,2,298.41,0.05,Organic,US,control,False,False,False
ORD-006182,2024-08-15,CUST-01997,cust-01997@lumenmail.com,Décor,1,325.62,0.1,Paid Search,CA,variant,False,False,False
ORD-006017,2023-11-21,CUST-01408,cust-01408@lumenmail.com,Furniture,2,284.68,0.1,Paid Search,US,,False,False,False
ORD-003412,2024-11-20,CUST-00249,cust-00249@lumenmail.com,Lighting,3,150.74,0.0,,ZZ,,False,False,False
ORD-004755,2024-12-28,CUST-01264,cust-01264@lumenmail.com,Furniture,1,137.36,0.0,,US,variant,False,False,False
ORD-000522,2023-12-07,CUST-02812,cust-02812@lumenmail.com,Décor,1,441.34,0.2,Social,US,variant,False,False,False
ORD-004937,2024-08-21,CUST-02264,cust-02264@lumenmail.com,Lighting,6,29.72,0.0,Organic,US,variant,False,False,False
ORD-007504,2024-12-27,CUST-01810,cust-01810@lumenmail.com,Lighting,1,41.7,0.1,Paid Search,US,control,False,False,False
ORD-004945,2024-01-04,CUST-00446,cust-00446@lumenmail.com,Décor,1,114.91,0.0,Paid Search,CA,control,False,False,False
ORD-006386,2023-10-05,CUST-02060,cust-02060@lumenmail.com,Outdoor,3,389.53,0.0,Paid Search,UK,variant,False,False,False
ORD-009164,2024-04-02,CUST-00481,cust-00481@lumenmail.com,Décor,7,17.59,0.0,Social,US,variant,False,False,False
ORD-005566,2024-08-25,CUST-00624,cust-00624@lumenmail.com,Outdoor,2,23.91,0.15,Paid Search,US,variant,False,False,False
ORD-009502,2023-07-05,CUST-01054,cust-01054@lumenmail.com,Lighting,1,34.6,0.0,Email,US,control,False,False,False
ORD-001975,2024-02-24,CUST-00928,cust-00928@lumenmail.com,Furniture,1,9.49,0.0,Paid Search,US,control,False,False,False
ORD-004901,2024-06-13,CUST-00405,cust-00405@lumenmail.com,Outdoor,1,473.43,0.05,Organic,US,,False,False,False
ORD-004142,2024-06-20,CUST-00831,cust-00831@lumenmail.com,Lighting,1,162.88,0.0,Social,US,,False,False,False
ORD-004236,2023-08-01,CUST-01853,cust-01853@lumenmail.com,Lighting,6,339.37,0.0,Paid Search,US,,False,False,False
ORD-004674,2024-03-04,CUST-01462,cust-01462@lumenmail.com,Furniture,4,308.5,0.25,Organic,US,,False,False,False
ORD-005857,2024-02-25,CUST-00328,cust-00328@lumenmail.com,Accessories,2,149.84,0.05,Email,US,control,False,False,False
ORD-008109,2024-05-02,CUST-00853,cust-00853@lumenmail.com,Décor,1,36.36,0.0,Paid Search,US,variant,False,False,False
ORD-007622,2023-10-16,CUST-02569,cust-02569@lumenmail.com,Décor,5,90.53,0.0,Paid Search,AU,control,False,False,False
ORD-002081,2023-10-16,CUST-02120,cust-02120@lumenmail.com,Lighting,5,67.16,0.0,Email,CA,variant,False,False,False
ORD-001738,2023-10-23,CUST-01454,cust-01454@lumenmail.com,Décor,1,63.28,0.0,Email,US,,False,False,False
ORD-008094,2024-05-03,CUST-02840,cust-02840@lumenmail.com,Outdoor,1,53.61,0.2,Paid Search,US,control,False,False,False
ORD-008020,2024-06-01,CUST-02306,cust-02306@lumenmail.com,Lighting,3,24.23,0.0,Paid Search,US,control,False,False,False
ORD-004320,2023-08-09,CUST-00591,cust-00591@lumenmail.com,Décor,-1,147.05,0.05,Paid Search,US,control,False,True,False
ORD-000351,2023-06-13,CUST-00152,cust-00152@lumenmail.com,Décor,1,175.38,0.0,Organic,CA,,False,False,False
ORD-007609,2024-07-21,CUST-00596,cust-00596@lumenmail.com,Outdoor,1,84.57,0.05,Paid Search,US,control,False,False,False
ORD-001647,2024-03-07,CUST-00450,cust-00450@lumenmail.com,Accessories,4,211.69,0.0,Email,US,,False,False,False
ORD-009122,2023-08-17,CUST-01422,cust-01422@lumenmail.com,Lighting,3,454.27,0.0,Paid Search,US,control,False,False,False
ORD-000678,2024-04-04,CUST-02797,cust-02797@lumenmail.com,Lighting,1,54.32,0.0,Email,US,variant,False,False,False
ORD-008867,2024-04-06,CUST-00229,cust-00229@lumenmail.com,Lighting,2,427.94,0.2,Social,ZZ,,False,False,False
ORD-000393,2023-10-30,CUST-02295,cust-02295@lumenmail.com,Lighting,2,497.0,0.0,Paid Search,US,,False,False,False
ORD-004774,2024-05-13,CUST-02177,cust-02177@lumenmail.com,Outdoor,7,111.22,0.0,Paid Search,US,,False,False,False
ORD-005320,2023-10-11,CUST-02302,cust-02302@lumenmail.com,Outdoor,1,386.49,0.2,Paid Search,US,control,False,False,False
ORD-001646,2024-09-21,CUST-01805,cust-01805@lumenmail.com,Outdoor,1,48.46,0.05,Social,UK,,False,False,False
ORD-000787,2023-07-22,CUST-00829,cust-00829@lumenmail.com,Décor,2,80.72,0.25,Paid Search,UK,control,False,False,False
