order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-003703,2024-01-19,CUST-01653,cust-01653@lumenmail.com,Furniture,3,217.33,0.1,Paid Search,US,variant
ORD-001144,15/12/2023,CUST-00469,cust-00469@lumenmail.com,Décor,2,147.47,0.2,Organic,AU,
ORD-008634,2023-12-30,CUST-00414,cust-00414@lumenmail.com,Lighting,1,90.32,0.0,Paid Search,ZZ,variant
ORD-009352,02/10/2023,CUST-01893,cust-01893@lumenmail.com,Décor,1,25.22,0.05,Paid Search,US,
ORD-007854,2024-03-01,CUST-02722,cust-02722@lumenmail.com,Furniture,2,62.97,0.0,Organic,US,variant
ORD-000023,2024-05-10,CUST-00936,cust-00936@lumenmail.com,Lighting,2,65.04,0.0,Email,US,control
ORD-002426,2023-12-31,,guest@lumenmail.com,Furniture,2,19.09,0.2,Organic,US,
ORD-000976,23/12/2023,CUST-01200,cust-01200@lumenmail.com,Lighting,1,526.32,0.05,Paid Search,US,control
ORD-007783,2024-10-03,CUST-02039,cust-02039@lumenmail.com,Lighting,4,117.68,0.05,Email,US,control
ORD-006107,2023-09-30,CUST-01473,cust-01473@lumenmail.com,Lighting,3,198.59,0.05,Paid Search,CA,variant
ORD-006716,2023-08-05,CUST-02040,cust-02040@lumenmail.com,Outdoor,2,91.83,0.0,Paid Search,UK,control
ORD-006008,2024-05-20,CUST-00036,cust-00036@lumenmail.com,Outdoor,1,35.41,0.0,Email,US,
ORD-003767,2023-10-01,CUST-00941,cust-00941@lumenmail.com,Furniture,1,204.64,0.1,Paid Search,US,variant
ORD-005706,2024-06-04,CUST-01100,cust-01100@lumenmail.com,Outdoor,4,18.86,0.0,Organic,AU,
ORD-001341,11/06/2024,CUST-02053,cust-02053@lumenmail.com,Lighting,3,14.25,0.0,,US,control
ORD-002767,2024-04-02,CUST-00428,cust-00428@lumenmail.com,Décor,1,65.6,0.25,Social,ZZ,control
ORD-002765,2023-07-24,CUST-00072,cust-00072@lumenmail.com,Lighting,1,126.98,0.0,Paid Search,US,
ORD-006321,2023-07-20,CUST-01045,cust-01045@lumenmail.com,Décor,1,798.74,0.15,Email,US,
ORD-003848,2023-09-28,CUST-00210,cust-00210@lumenmail.com,Décor,2,74.54,0.0,Email,US,variant
ORD-004403,2023-06-06,CUST-01615,cust-01615@lumenmail.com,Furniture,1,325.48,0.0,Social,UK,control
ORD-001738,2024-05-16,CUST-02602,cust-02602@lumenmail.com,Accessories,1,41.91,0.0,Email,AU,
ORD-000932,2024-11-16,CUST-02079,cust-02079@lumenmail.com,Décor,1,154.77,0.25,Organic,US,variant
ORD-004723,2023-11-10,CUST-02260,cust-02260@lumenmail.com,Furniture,1,19.6,0.0,Email,ZZ,control
ORD-003513,2024-04-04,CUST-01877,cust-01877@lumenmail.com,Accessories,2,38.49,0.05,Paid Search,US,control
ORD-003855,13/12/2023,CUST-00686,cust-00686@lumenmail.com,Furniture,2,93.61,0.0,,US,
ORD-006605,2024-02-24,CUST-01737,cust-01737@lumenmail.com,Outdoor,1,71.87,0.0,Email,US,control
