order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group,date_missing,is_return,is_promo
ORD-003164,2023-12-19,CUST-02179,cust-02179@lumenmail.com,Furniture,1,528.43,0.0,Paid Search,US,variant,False,False,False
ORD-006135,2024-09-13,CUST-02716,cust-02716@lumenmail.com,Furniture,2,22.09,0.15,Paid Search,CA,variant,False,False,False
ORD-000098,2024-10-09,CUST-00360,cust-00360@lumenmail.com,Lighting,1,28.09,0.1,Email,US,control,False,False,False
ORD-002729,2023-11-16,CUST-00615,cust-00615@lumenmail.com,Outdoor,5,7.65,0.0,Organic,CA,control,False,False,False
ORD-002591,2023-08-26,CUST-02819,cust-02819@lumenmail.com,Décor,-1,82.37,0.0,Organic,US,variant,False,True,False
ORD-001032,2024-07-04,,guest@lumenmail.com,Décor,1,25.29,0.0,Paid Search,CA,control,False,False,False
ORD-008444,2023-06-03,CUST-02524,cust-02524@lumenmail.com,Décor,1,0.0,0.0,Organic,CA,control,False,False,True
ORD-006017,2024-10-05,CUST-02540,cust-02540@lumenmail.com,Lighting,4,377.43,0.0,Organic,US,variant,False,False,False
ORD-008935,2023-07-21,CUST-01961,cust-01961@lumenmail.com,Lighting,2,115.32,0.25,Email,UK,control,False,False,False
ORD-003612,2023-10-06,CUST-00096,cust-00096@lumenmail.com,Outdoor,2,209.12,0.0,Paid Search,CA,,False,False,False
ORD-008308,2023-09-30,,guest@lumenmail.com,Décor,2,35.14,0.15,,US,,False,False,False
ORD-007263,2024-09-29,CUST-00197,cust-00197@lumenmail.com,Lighting,3,44.66,0.0,Paid Search,AU,control,False,False,False
ORD-000707,2023-10-06,,guest@lumenmail.com,Lighting,1,33.2,0.0,Email,US,variant,False,False,False
ORD-008211,2023-11-27,CUST-00991,cust-00991@lumenmail.com,Lighting,2,95.81,0.0,Paid Search,UK,variant,False,False,False
ORD-007730,2024-11-14,CUST-01714,cust-01714@lumenmail.com,Lighting,2,42.56,0.05,Paid Search,UK,variant,False,False,False
ORD-009173,2024-08-21,CUST-01482,cust-01482@lumenmail.com,Lighting,1,265.32,0.15,Paid Search,CA,variant,False,False,False
ORD-009337,2024-08-20,CUST-02981,cust-02981@lumenmail.com,Furniture,1,77.71,0.2,Social,ZZ,control,False,False,False
ORD-007296,2023-09-14,CUST-01914,cust-01914@lumenmail.com,Lighting,1,36.61,0.1,Paid Search,US,,False,False,False
ORD-003290,2023-11-10,CUST-00082,cust-00082@lumenmail.com,Furniture,2,85.14,0.1,Organic,US,,False,False,False
ORD-008587,2024-10-27,CUST-02235,cust-02235@lumenmail.com,Furniture,2,630.16,0.0,Organic,US,variant,False,False,False
ORD-006549,2024-11-15,CUST-00900,cust-00900@lumenmail.com,Décor,1,19.9,0.1,Paid Search,US,control,False,False,False
ORD-001568,2024-08-20,CUST-02495,cust-02495@lumenmail.com,Accessories,2,15.95,0.05,Paid Search,CA,variant,False,False,False
ORD-001137,2024-04-20,CUST-02830,cust-02830@lumenmail.com,Lighting,-3,13.4,0.05,Social,ZZ,,False,True,False
ORD-002443,2023-06-18,CUST-02810,cust-02810@lumenmail.com,Accessories,2,19.61,0.0,Paid Search,CA,,False,False,False
ORD-003842,2024-07-24,CUST-00135,cust-00135@lumenmail.com,Lighting,3,66.48,0.15,Paid Search,CA,variant,False,False,False
ORD-005715,2023-10-06,CUST-02887,cust-02887@lumenmail.com,Lighting,2,12.42,0.0,Organic,CA,control,False,False,False
ORD-009045,2024-11-21,CUST-01520,cust-01520@lumenmail.com,Lighting,2,355.51,0.05,Email,US,control,False,False,False
ORD-001457,2024-12-05,CUST-00990,cust-00990@lumenmail.com,Décor,2,65.52,0.15,Paid Search,US,control,False,False,False
ORD-002492,2023-12-23,CUST-02265,cust-02265@lumenmail.com,Furniture,6,49.14,0.0,Paid Search,US,control,False,False,False
ORD-007241,2024-05-10,CUST-00513,cust-00513@lumenmail.com,Décor,2,174.35,0.05,Paid Search,US,variant,False,False,False
ORD-001854,2024-06-20,CUST-02856,cust-02856@lumenmail.com,Lighting,-1,55.75,0.0,Organic,US,control,False,True,False
ORD-002234,2024-12-28,,guest@lumenmail.com,Lighting,2,14.38,0.0,Paid Search,CA,,False,False,False
ORD-001504,2024-08-29,CUST-02766,cust-02766@lumenmail.com,Décor,5,14.69,0.0,Paid Search,US,control,False,False,False
ORD-007736,2024-10-26,CUST-00904,cust-00904@lumenmail.com,Furniture,1,128.93,0.25,Paid Search,US,,False,False,False
ORD-003927,2024-12-18,CUST-00249,cust-00249@lumenmail.com,Furniture,1,360.2,0.0,Paid Search,UK,,False,False,False
ORD-007390,2024-01-09,CUST-02344,cust-02344@lumenmail.com,Lighting,5,795.81,0.15,Email,CA,control,False,False,False
ORD-002577,2024-11-27,CUST-00060,cust-00060@lumenmail.com,Furniture,7,194.43,0.0,Paid Search,UK,,False,False,False
ORD-008858,2024-02-22,CUST-01171,cust-01171@lumenmail.com,Décor,1,42.78,0.05,Organic,US,variant,False,False,False
ORD-008861,2024-08-12,CUST-01010,cust-01010@lumenmail.com,Décor,2,51.63,0.1,Social,US,,False,False,False
ORD-009076,2023-07-11,CUST-00704,cust-00704@lumenmail.com,Lighting,5,181.64,0.2,Paid Search,CA,control,False,False,False
ORD-001846,2023-08-13,CUST-00778,cust-00778@lumenmail.com,Furniture,1,25.81,0.0,Organic,UK,variant,False,False,False
ORD-004810,2023-07-15,CUST-02877,cust-02877@lumenmail.com,Décor,1,308.46,0.15,Paid Search,US,variant,False,False,False
ORD-007578,2024-08-14,,guest@lumenmail.com,Lighting,1,189.14,0.0,Social,US,variant,False,False,False
ORD-003575,2024-07-05,CUST-01815,cust-01815@lumenmail.com,Furniture,3,68.42,0.0,Social,US,control,False,False,False
ORD-000439,2024-09-24,CUST-02588,cust-02588@lumenmail.com,Furniture,1,94.21,0.1,Social,UK,control,False,False,False
ORD-001691,2023-12-31,CUST-00683,cust-00683@lumenmail.com,Outdoor,2,46.76,0.15,Email,US,,False,False,False
ORD-003525,2024-10-11,CUST-00963,cust-00963@lumenmail.com,Outdoor,1,38.69,0.15,Paid Search,CA,,False,False,False
ORD-002818,2024-10-21,CUST-00008,cust-00008@lumenmail.com,Lighting,1,81.29,0.2,Paid Search,US,control,False,False,False
ORD-005338,2023-08-17,CUST-00322,cust-00322@lumenmail.com,Lighting,2,21.52,0.1,Paid Search,ZZ,variant,False,False,False
ORD-000281,2024-02-08,CUST-00329,cust-00329@lumenmail.com,Décor,3,151.17,0.0,Organic,US,control,False,False,False
ORD-003494,2024-09-21,CUST-01273,cust-01273@lumenmail.com,Outdoor,1,389.28,0.0,Paid Search,US,control,False,False,False
ORD-001935,2023-09-29,CUST-01660,cust-01660@lumenmail.com,Lighting,3,179.81,0.05,Organic,US,control,False,False,False
ORD-004544,2024-10-17,CUST-02677,cust-02677@lumenmail.com,Décor,2,389.59,0.1,Organic,US,control,False,False,False
ORD-007165,2023-07-05,CUST-01286,cust-01286@lumenmail.com,Furniture,3,148.7,0.15,Organic,UK,variant,False,False,False
ORD-008318,2023-09-27,,guest@lumenmail.com,Furniture,1,17.02,0.0,Email,US,variant,False,False,False
ORD-004708,2024-02-25,CUST-02982,cust-02982@lumenmail.com,Outdoor,1,119.18,0.0,Organic,US,,False,False,False
ORD-002945,2024-10-17,CUST-00649,cust-00649@lumenmail.com,Furniture,1,96.67,0.0,Paid Search,US,control,False,False,False
ORD-001851,2023-08-26,CUST-00358,cust-00358@lumenmail.com,Furniture,1,77.94,0.2,,US,,False,False,False
ORD-005843,2023-10-24,CUST-01147,cust-01147@lumenmail.com,Décor,3,131.8,0.0,Paid Search,US,variant,False,False,False
ORD-005215,2024-07-28,CUST-01464,cust-01464@lumenmail.com,Accessories,1,41.3,0.0,Email,US,,False,False,False
ORD-003862,2023-06-03,CUST-02293,cust-02293@lumenmail.com,Lighting,1,146.69,0.05,Paid Search,US,,False,False,False
ORD-002067,2023-06-27,CUST-02867,cust-02867@lumenmail.com,Décor,4,116.0,0.05,Social,UK,control,False,False,False
ORD-003479,2024-12-12,,guest@lumenmail.com,Accessories,1,126.52,0.05,Social,CA,control,False,False,False
ORD-009074,2024-06-09,CUST-00487,cust-00487@lumenmail.com,Décor,1,77.92,0.2,Email,CA,variant,False,False,False
ORD-002293,2024-06-06,CUST-02851,cust-02851@lumenmail.com,Décor,3,301.42,0.0,Paid Search,US,,False,False,False
ORD-002094,2024-12-13,,guest@lumenmail.com,Lighting,2,136.18,0.0,Social,US,variant,False,False,False
ORD-001993,2023-06-11,CUST-01485,cust-01485@lumenmail.com,Lighting,-3,57.48,0.0,,CA,control,False,True,False
ORD-001792,2024-10-31,CUST-01654,cust-01654@lumenmail.com,Outdoor,2,30.63,0.15,Paid Search,UK,control,False,False,False
ORD-006454,2024-09-04,CUST-00582,cust-00582@lumenmail.com,Furniture,4,362.93,0.0,Organic,UK,control,False,False,False
ORD-001349,2024-12-10,CUST-02915,cust-02915@lumenmail.com,Décor,1,42.77,0.25,Organic,US,control,False,False,False
ORD-003159,2024-05-30,CUST-00963,cust-00963@lumenmail.com,Accessories,1,93.91,0.0,,CA,,False,False,False
ORD-005225,2024-09-27,CUST-00313,cust-00313@lumenmail.com,Furniture,1,151.87,0.0,Email,US,control,False,False,False
ORD-004518,2024-12-14,CUST-01755,cust-01755@lumenmail.com,Furniture,1,231.57,0.0,Email,CA,control,False,False,False
