order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-000489,2023-09-03,CUST-00543,cust-00543@lumenmail.com,Accessories,3,613.52,0.25,Email,US,control
ORD-006212,2023-06-05,CUST-02685,cust-02685@lumenmail.com,Lighting,1,236.42,0.0,Email,CA,control
ORD-009053,2024-08-30,CUST-01172,cust-01172@lumenmail.com,Lighting,1,29.7,15.0,Social,CA,control
ORD-001333,08/07/2024,CUST-00040,cust-00040@lumenmail.com,Furniture,6,289.86,0.1,Organic,US,control
ORD-002584,2023-06-02,CUST-00385,cust-00385@lumenmail.com,Décor,1,25.85,0.1,Paid Search,US,
ORD-004663,2024-09-05,CUST-02191,cust-02191@lumenmail.com,Accessories,1,300.08,0.2,Organic,CA,
ORD-001498,2024-06-06,CUST-01762,cust-01762@lumenmail.com,Lighting,1,95.32,0.0,Social,US,
ORD-005349,2024-03-02,CUST-01356,cust-01356@lumenmail.com,Outdoor,2,71.54,0.05,Email,US,control
ORD-007127,2024-09-08,CUST-02045,cust-02045@lumenmail.com,Décor,2,77.89,0.0,Organic,US,
ORD-008631,2024-06-25,CUST-00917,cust-00917@lumenmail.com,Accessories,2,114.32,0.0,Email,CA,
ORD-005623,2024-12-05,CUST-00747,cust-00747@lumenmail.com,Lighting,4,36.37,0.2,,US,variant
ORD-008616,2023-09-23,CUST-02958,cust-02958@lumenmail.com,Lighting,2,42.65,0.0,Email,US,variant
ORD-006675,2024-01-18,CUST-01865,cust-01865@lumenmail.com,Outdoor,2,111.37,0.15,Email,US,control
ORD-000763,2024-08-08,CUST-00174,cust-00174@lumenmail.com,Décor,5,36.92,0.2,Email,CA,
ORD-009555,29/12/2024,CUST-02353,cust-02353@lumenmail.com,Furniture,1,162.54,0.05,Paid Search,US,
ORD-004860,2024-08-30,CUST-00286,cust-00286@lumenmail.com,Lighting,3,452.67,0.0,Paid Search,US,control
ORD-007711,2023-08-29,CUST-00604,cust-00604@lumenmail.com,lighting,1,21.09,0.0,Email,AU,variant
ORD-005047,2023-12-25,CUST-02204,cust-02204@lumenmail.com,Lighting,2,26.12,0.15,Email,UK,variant
ORD-009176,2023-11-10,CUST-00094,cust-00094@lumenmail.com,Lighting,1,130.41,0.0,Paid Search,CA,
ORD-002827,2024-08-06,CUST-00805,cust-00805@lumenmail.com,Accessories,1,149.75,0.2,Email,ZZ,control
ORD-004752,2023-12-28,CUST-00943,cust-00943@lumenmail.com,Accessories,1,52.6,0.0,Organic,US,
ORD-003002,2024-12-12,CUST-00581,cust-00581@lumenmail.com,Accessories,2,325.73,0.2,Email,US,control
ORD-001234,17/05/2024,CUST-02104,cust-02104@lumenmail.com,Furniture,-1,30.87,0.2,Paid Search,US,control
ORD-008517,2023-12-19,CUST-02688,cust-02688@lumenmail.com,Furniture,2,11.02,0.0,Paid Search,US,variant
ORD-001566,2024-12-08,CUST-00847,cust-00847@lumenmail.com,Décor,4,176.23,0.0,Social,CA,control
ORD-004873,30/11/2023,CUST-00572,cust-00572@lumenmail.com,Lighting,1,119.49,20.0,Social,US,
ORD-006010,2024-03-21,CUST-00183,cust-00183@lumenmail.com,Lighting,2,369.34,0.15,Paid Search,AU,
ORD-005192,2023-07-02,CUST-00259,cust-00259@lumenmail.com,Furniture,1,47.94,0.25,Email,UK,
ORD-005713,2023-09-30,CUST-02190,cust-02190@lumenmail.com,Furniture,1,5.78,0.0,Email,US,
ORD-008765,2024-01-12,CUST-02785,cust-02785@lumenmail.com,Lighting,1,53.31,0.2,Organic,AU,
ORD-008838,2024-11-11,CUST-02406,cust-02406@lumenmail.com,Décor,2,42.5,0.0,Organic,AU,
