order_id,order_date,customer_id,customer_email,product_category,quantity,unit_price,discount_pct,channel,country,experiment_group
ORD-007775,2024-05-29,CUST-00469,cust-00469@lumenmail.com,Décor,1,99.1,0.0,Social,US,
ORD-005679,2024-02-12,CUST-00918,cust-00918@lumenmail.com,Décor,1,11.84,0.0,Organic,US,control
ORD-007553,2023-10-31,CUST-00746,cust-00746@lumenmail.com,Décor,2,9.46,0.0,Social,US,control
ORD-000588,2023-11-23,,guest@lumenmail.com,Lighting,1,799.15,0.0,Email,US,
ORD-009040,2024-07-05,CUST-01402,cust-01402@lumenmail.com,Outdoor,2,133.2,0.0,Organic,UK,variant
ORD-001466,2023-11-12,CUST-01914,cust-01914@lumenmail.com,Accessories,1,508.2,0.15,Social,CA,variant
ORD-009085,2024-06-26,CUST-01310,cust-01310@lumenmail.com,Lighting,2,113.61,0.05,Social,US,
ORD-005328,2024-11-06,CUST-01970,cust-01970@lumenmail.com,Décor,2,262.37,0.1,Social,US,variant
ORD-000652,23/05/2024,CUST-02594,cust-02594@lumenmail.com,Décor,2,32.19,0.05,Organic,US,
ORD-009239,2023-11-12,CUST-01339,cust-01339@lumenmail.com,Lighting,4,51.6,0.0,Email,US,
ORD-008609,17/01/2024,CUST-01180,cust-01180@lumenmail.com,Lighting,1,148.9,0.05,Organic,US,variant
ORD-003388,2024-02-07,CUST-02946,cust-02946@lumenmail.com,Lighting,5,100.93,0.0,Paid Search,UK,
ORD-005713,2023-07-18,CUST-02734,cust-02734@lumenmail.com,Lighting,5,26.91,0.0,Paid Search,US,variant
ORD-009378,2023-09-06,CUST-01897,cust-01897@lumenmail.com,Lighting,1,28.16,0.1,,CA,
ORD-007823,2024-10-08,CUST-02659,cust-02659@lumenmail.com,Outdoor,1,55.77,0.0,Email,US,
ORD-009025,2023-12-28,,guest@lumenmail.com,Décor,1,152.01,0.0,Email,US,control
ORD-007073,2024-12-29,CUST-00557,cust-00557@lumenmail.com,Lighting,1,90.6,0.0,Organic,UK,
ORD-001358,2024-01-02,CUST-01633,cust-01633@lumenmail.com,Lighting,1,77.35,0.0,Email,US,control
ORD-003898,2024-05-22,CUST-00862,cust-00862@lumenmail.com,Furniture,1,46.45,0.05,Paid Search,CA,variant
ORD-006561,2023-11-09,CUST-01689,cust-01689@lumenmail.com,Accessories,1,37.57,0.0,Paid Search,CA,control
ORD-006305,2023-10-25,CUST-02651,cust-02651@lumenmail.com,Décor,2,184.07,0.2,Paid Search,US,variant
ORD-001853,2023-07-07,,guest@lumenmail.com,Lighting,3,529.91,0.0,Organic,US,variant
ORD-003300,2024-12-17,CUST-00081,cust-00081@lumenmail.com,Furniture,2,186.77,0.0,Paid Search,US,variant
ORD-001829,2024-12-26,CUST-02582,cust-02582@lumenmail.com,Décor,4,46.77,0.05,Email,UK,
ORD-005886,2024-01-03,CUST-00981,cust-00981@lumenmail.com,Furniture,-1,369.19,0.2,Organic,CA,control
ORD-003044,07/09/2023,CUST-01834,cust-01834@lumenmail.com,Décor,1,195.66,0.15,,UK,control
ORD-008236,04/07/2023,CUST-01354,cust-01354@lumenmail.com,Lighting,2,14.46,0.0,Organic,UK,
ORD-008653,2023-06-22,CUST-02773,cust-02773@lumenmail.com,Furniture,1,15.3,0.05,Social,US,variant
ORD-001991,2024-02-25,CUST-00762,cust-00762@lumenmail.com,Lighting,2,20.35,0.0,Email,US,variant
ORD-008099,2024-12-03,CUST-00475,cust-00475@lumenmail.com,Furniture,4,182.41,0.0,Email,US,control
ORD-002791,2023-06-20,CUST-01497,cust-01497@lumenmail.com,Lighting,2,29.82,0.05,Email,US,
ORD-006462,2024-05-11,CUST-01386,cust-01386@lumenmail.com,Outdoor,-1,43.77,0.2,Email,CA,
ORD-001531,2023-12-26,CUST-01629,cust-01629@lumenmail.com,Furniture,1,97.57,0.0,Organic,ZZ,control
ORD-008794,2023-12-13,CUST-02653,cust-02653@lumenmail.com,Furniture,7,29.47,0.0,Social,US,control
ORD-009199,2024-03-02,CUST-00022,cust-00022@lumenmail.com,Furniture,7,86.86,0.0,Paid Search,UK,
ORD-003408,02/01/2024,CUST-02328,cust-02328@lumenmail.com,Lighting,1,148.01,0.0,Social,US,
ORD-005498,2024-01-31,CUST-02959,cust-02959@lumenmail.com,Lighting,1,763.45,0.0,Email,US,control
ORD-009341,2024-03-24,CUST-00376,cust-00376@lumenmail.com,Lighting,1,40.34,0.0,Email,US,control
ORD-008751,2024-12-04,CUST-00855,cust-00855@lumenmail.com,Décor,2,126.15,0.05,Organic,US,variant
ORD-009367,2023-07-04,CUST-01603,cust-01603@lumenmail.com,Outdoor,5,58.22,0.1,Email,US,variant
ORD-006963,2023-10-06,CUST-02758,cust-02758@lumenmail.com,Accessories,3,13.43,0.1,Email,US,control
ORD-004443,2023-07-13,,guest@lumenmail.com,Furniture,2,47.71,0.15,Organic,US,control
ORD-004153,2023-09-20,CUST-02311,cust-02311@lumenmail.com,Décor,2,122.6,0.0,Paid Search,UK,
ORD-003133,2024-10-20,CUST-01906,cust-01906@lumenmail.com,Furniture,1,186.51,0.0,Organic,US,variant
ORD-002839,2023-08-19,CUST-02381,cust-02381@lumenmail.com,Lighting,3,738.59,0.1,Email,US,variant
ORD-000707,2023-12-14,CUST-01709,cust-01709@lumenmail.com,Décor,2,68.43,0.0,Paid Search,US,variant
ORD-004480,2024-09-29,CUST-01741,cust-01741@lumenmail.com,Lighting,1,184.71,0.05,Email,CA,variant
ORD-008314,2024-12-14,CUST-01104,cust-01104@lumenmail.com,Lighting,2,63.35,0.0,Paid Search,US,variant
ORD-001677,2024-11-14,CUST-00622,cust-00622@lumenmail.com,Lighting,2,69.9,0.0,Email,US,control
ORD-000939,2024-10-22,CUST-01301,cust-01301@lumenmail.com,Lighting,1,19.32,0.0,Organic,US,
ORD-005380,2024-03-16,CUST-01381,cust-01381@lumenmail.com,Décor,4,74.21,0.15,,US,variant
ORD-004112,2024-04-04,CUST-00298,cust-00298@lumenmail.com,Lighting,1,401.68,0.0,Email,US,control
ORD-005693,2024-05-31,CUST-01671,cust-01671@lumenmail.com,Accessories,1,132.7,0.2,Social,UK,
ORD-003583,2024-11-12,CUST-02422,cust-02422@lumenmail.com,Furniture,3,50.9,0.2,Paid Search,US,variant
ORD-007050,2023-08-30,CUST-02975,cust-02975@lumenmail.com,Décor,3,8.32,0.0,Organic,US,control
ORD-007313,2024-01-11,CUST-01111,cust-01111@lumenmail.com,Furniture,5,96.94,0.0,Paid Search,US,control
ORD-008989,2023-11-03,CUST-02451,cust-02451@lumenmail.com,Furniture,4,72.25,0.15,Paid Search,US,control
ORD-000135,2023-10-18,CUST-01411,cust-01411@lumenmail.com,Lighting,2,22.62,0.05,Social,AU,control
ORD-004568,2024-12-07,CUST-02696,cust-02696@lumenmail.com,Accessories,1,155.44,0.05,Paid Search,US,control
ORD-001396,2024-04-16,CUST-01378,cust-01378@lumenmail.com,Lighting,1,49.01,0.05,Paid Search,US,variant
ORD-000319,2024-04-19,CUST-02794,cust-02794@lumenmail.com,Lighting,2,42.73,0.0,Paid Search,CA,
ORD-005039,2024-02-14,CUST-02862,cust-02862@lumenmail.com,Lighting,5,222.09,0.2,Organic,US,control
ORD-001694,2023-11-30,CUST-02617,cust-02617@lumenmail.com,Lighting,2,197.23,0.0,Organic,AU,variant
ORD-003862,2023-12-12,CUST-00552,cust-00552@lumenmail.com,Décor,2,89.54,0.25,Organic,US,
ORD-000026,2024-10-27,CUST-01588,cust-01588@lumenmail.com,Décor,1,362.32,0.1,Paid Search,US,
ORD-001827,2024-01-18,CUST-00995,cust-00995@lumenmail.com,Décor,1,51.78,0.0,Email,UK,control
ORD-004698,16/06/2024,CUST-01188,cust-01188@lumenmail.com,Décor,3,392.98,0.2,Email,US,variant
ORD-006649,2023-09-11,CUST-02123,cust-02123@lumenmail.com,Lighting,1,51.27,0.15,Email,CA,variant
ORD-005982,2024-06-27,CUST-02306,cust-02306@lumenmail.com,Accessories,1,195.2,0.0,Social,UK,
ORD-003917,2023-07-28,CUST-01574,cust-01574@lumenmail.com,Lighting,5,68.62,0.0,Paid Search,ZZ,variant
ORD-000654,2024-02-05,CUST-01012,cust-01012@lumenmail.com,Lighting,1,196.86,0.05,Paid Search,US,control
ORD-008750,2023-11-15,CUST-01094,cust-01094@lumenmail.com,Furniture,2,171.68,0.0,Paid Search,UK,variant
ORD-005911,10/02/2024,CUST-00057,cust-00057@lumenmail.com,Décor,2,27.51,0.15,Paid Search,US,control
ORD-002036,2024-10-05,CUST-01473,cust-01473@lumenmail.com,Décor,2,39.16,0.0,Email,US,
ORD-005220,2023-12-07,CUST-01542,cust-01542@lumenmail.com,Lighting,1,81.42,0.15,Paid Search,US,
ORD-009263,2024-03-02,CUST-00806,cust-00806@lumenmail.com,Lighting,4,150.92,0.25,Social,US,
ORD-005628,2024-10-22,CUST-02450,cust-02450@lumenmail.com,Lighting,2,154.75,0.15,Organic,US,control
ORD-007122,10/07/2024,CUST-01217,cust-01217@lumenmail.com,Lighting,2,76.11,0.2,Email,UK,control
ORD-007740,2024-08-04,CUST-02482,cust-02482@lumenmail.com,Furniture,2,133.33,0.2,Email,US,control
ORD-000791,2024-08-19,CUST-00825,cust-00825@lumenmail.com,Lighting,3,56.6,0.1,Email,US,
ORD-009202,03/11/2023,CUST-00176,cust-00176@lumenmail.com,Accessories,1,49.83,0.0,Organic,US,
ORD-008582,2023-10-30,CUST-02638,cust-02638@lumenmail.com,Lighting,2,57.57,0.0,Paid Search,CA,
ORD-009366,24/05/2024,CUST-01911,cust-01911@lumenmail.com,Furniture,1,202.76,0.0,Social,AU,control
ORD-001185,2023-10-02,CUST-00097,cust-00097@lumenmail.com,Furniture,6,8.94,0.05,Paid Search,US,control
ORD-005005,2024-09-23,CUST-01456,cust-01456@lumenmail.com,Lighting,3,134.05,0.1,Organic,CA,control
ORD-009230,2024-05-25,CUST-01138,cust-01138@lumenmail.com,Furniture,1,110.8,0.2,Email,US,
